swab_id,zoo_load_100,log10_1
.,NA,NA
318,        00.00,00.000000
319,        00.00,00.000000
320,        00.00,00.000000
321,        00.00,00.000000
322,        00.00,00.000000
323,        00.00,00.000000
324,        00.00,00.000000
325,        00.00,00.000000
326,        00.00,00.000000
327,      179.10,02.255514
328,      482.70,02.684576
330,        00.00,00.000000
331,        00.00,00.000000
332,        00.00,00.000000
.,NA,NA
333,      156.50,02.197281
334,        00.00,00.000000
335,        00.00,00.000000
336,      833.30,02.921322
337,        00.00,00.000000
338,        00.00,00.000000
339,        00.00,00.000000
340,        00.00,00.000000
341,        00.00,00.000000
342,        00.00,00.000000
343,        00.00,00.000000
344,        00.00,00.000000
345,        00.00,00.000000
346,        00.00,00.000000
347,        00.00,00.000000
348,        00.00,00.000000
349,        00.00,00.000000
350,        00.00,00.000000
351,        00.00,00.000000
352,        00.00,00.000000
353,   248507.00,05.395340
354,      179.30,02.255996
355,        00.00,00.000000
356,        00.00,00.000000
357,        00.00,00.000000
358,        00.00,00.000000
359,      657.20,02.818358
360,     7161.30,03.855053
361,   637889.00,05.804746
362,        00.00,00.000000
363,      116.10,02.068557
364,        00.00,00.000000
365,        00.00,00.000000
366,        00.00,00.000000
367,        00.00,00.000000
368,        00.00,00.000000
369,        00.00,00.000000
370,      176.90,02.250176
371,        00.00,00.000000
372,        00.00,00.000000
373,        00.00,00.000000
374,        00.00,00.000000
375,        00.00,00.000000
376,        00.00,00.000000
377,        00.00,00.000000
378,    14299.10,04.155339
379,        00.00,00.000000
380,        00.00,00.000000
381,        00.00,00.000000
382,     6468.70,03.810884
383,        00.00,00.000000
384,  1790431.00,06.252958
385,     3547.30,03.550020
386,        00.00,00.000000
387,        00.00,00.000000
388,        00.00,00.000000
389,        00.00,00.000000
390,        00.00,00.000000
391,        00.00,00.000000
392,        00.00,00.000000
393,        00.00,00.000000
394,        00.00,00.000000
395,        00.00,00.000000
396,      244.70,02.390405
397,        00.00,00.000000
398,        00.00,00.000000
400,        00.00,00.000000
401,        00.00,00.000000
402,     1420.50,03.152747
403,        00.00,00.000000
404,        00.00,00.000000
405,        00.00,00.000000
406,        00.00,00.000000
407,        00.00,00.000000
408,        00.00,00.000000
409,        00.00,00.000000
410,    50721.60,04.705202
411,     1633.10,03.213279
412,      518.80,02.715836
413,        00.00,00.000000
414,        00.00,00.000000
415,        00.00,00.000000
416,     3375.30,03.528441
417,        00.00,00.000000
418,        00.00,00.000000
419,        00.00,00.000000
420,        00.00,00.000000
421,        00.00,00.000000
422,        00.00,00.000000
423,        00.00,00.000000
424,        00.00,00.000000
425,        00.00,00.000000
426,        00.00,00.000000
427,        00.00,00.000000
428,        00.00,00.000000
429,        00.00,00.000000
430,        00.00,00.000000
431,        00.00,00.000000
432,        00.00,00.000000
433, 19480722.00,07.289605
434,    58367.80,04.766181
435,    27839.40,04.444675
436,     7648.70,03.883644
437,        00.00,00.000000
438,        00.00,00.000000
.,NA,NA
.,NA,NA
439,        00.00,00.000000
440,      178.90,02.255031
441,        00.00,00.000000
442,       50.20,01.709270
443,        00.00,00.000000
444,        00.00,00.000000
445,   148033.00,05.170361
446,        00.00,00.000000
447,        00.00,00.000000
448,        00.00,00.000000
449,     3095.80,03.490913
450,     1404.30,03.147769
451,        00.00,00.000000
452,        00.00,00.000000
453,        00.00,00.000000
.,NA,NA
454,        00.00,00.000000
455,        00.00,00.000000
456,        00.00,00.000000
457,        00.00,00.000000
458,        00.00,00.000000
459,        00.00,00.000000
460,        00.00,00.000000
462,        00.00,00.000000
463,        00.00,00.000000
464,        00.00,00.000000
465,        00.00,00.000000
466,        00.00,00.000000
467,        00.00,00.000000
468,        00.00,00.000000
.,NA,NA
469,        00.00,00.000000
470,      587.10,02.769451
471,        00.00,00.000000
472,        00.00,00.000000
473,        00.00,00.000000
474,        00.00,00.000000
475,        00.00,00.000000
476,        00.00,00.000000
477,        00.00,00.000000
478,        00.00,00.000000
479,        00.00,00.000000
480,        00.00,00.000000
481,        00.00,00.000000
482,        00.00,00.000000
483,        00.00,00.000000
484,        00.00,00.000000
485,        00.00,00.000000
486,        00.00,00.000000
487,        00.00,00.000000
.,NA,NA
488,      676.80,02.831102
489,      294.50,02.470557
490,       50.20,01.709270
491,    16129.90,04.207659
492,    25252.60,04.402323
493,    18629.70,04.270229
494,      802.90,02.905202
495,      840.70,02.925157
496,     1195.40,03.077876
497,        00.00,00.000000
498,        00.00,00.000000
499,        00.00,00.000000
500,        00.00,00.000000
501,        00.00,00.000000
502,        00.00,00.000000
503,        00.00,00.000000
504,        00.00,00.000000
.,NA,NA
505,        00.00,00.000000
506,        00.00,00.000000
507,        00.00,00.000000
508,        00.00,00.000000
509,        00.00,00.000000
510,        00.00,00.000000
511,        00.00,00.000000
512,        00.00,00.000000
513,        00.00,00.000000
514,        00.00,00.000000
515,        00.00,00.000000
516,        00.00,00.000000
517,        00.00,00.000000
518,        00.00,00.000000
519,        00.00,00.000000
520,        00.00,00.000000
521,        00.00,00.000000
522,        00.00,00.000000
523,        00.00,00.000000
524,        00.00,00.000000
525,        00.00,00.000000
526,        00.00,00.000000
527,        00.00,00.000000
528,        00.00,00.000000
529,        00.00,00.000000
530,        00.00,00.000000
